     1.000     1.000     1.000     1.000     0.000     0.650     0.350     0.000     0.000     1.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     1.000     0.000     1.000     0.000     0.000     0.002     0.977     0.000     0.021     2.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     0.000     0.000     0.000   999.000     0.000     0.000     0.138     0.000     0.862     4.000
     1.000     0.000     1.000     0.000     0.000     0.002     0.977     0.000     0.021     2.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     1.000     1.000     1.000     0.000     1.000     0.687     0.000     0.313     0.000     1.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.307     0.000     0.693     4.000
     0.000     0.000     0.000     1.000     1.000     0.008     0.000     0.965     0.026     3.000
     0.000     0.000     1.000     0.000     0.000     0.000     0.934     0.000     0.066     2.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     1.000     0.000     1.000     0.000     0.000     0.002     0.977     0.000     0.021     2.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     1.000   999.000     0.000     0.000     0.000     0.001     0.406     0.000     0.593     4.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.307     0.000     0.693     4.000
     0.000     1.000     1.000     1.000     1.000     0.859     0.000     0.141     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     0.000     0.000     0.000     0.000     1.000     0.001     0.000     0.763     0.236     3.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.307     0.000     0.693     4.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     1.000     0.000     0.000     0.000     1.000     0.003     0.000     0.937     0.060     3.000
     1.000     1.000     0.000     1.000     1.000     0.580     0.000     0.420     0.000     1.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     0.000     1.000     1.000     0.000     0.000     0.013     0.987     0.000     0.000     2.000
     1.000     1.000     1.000     1.000     0.000     0.650     0.350     0.000     0.000     1.000
     1.000     1.000   999.000     0.000     0.000     0.039     0.961     0.000     0.000     2.000
     1.000     1.000     0.000     1.000     0.000     0.150     0.850     0.000     0.000     2.000
     1.000     0.000     1.000     0.000     0.000     0.002     0.977     0.000     0.021     2.000
     1.000     1.000     0.000     0.000     0.000     0.006     0.994     0.000     0.000     2.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.307     0.000     0.693     4.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     1.000     0.000   999.000     0.000     1.000     0.023     0.000     0.943     0.033     3.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     1.000     0.000     1.000     0.000     0.000     0.002     0.977     0.000     0.021     2.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     0.000     1.000     1.000     1.000     1.000     0.859     0.000     0.141     0.000     1.000
     0.000     1.000     1.000     0.000     1.000     0.376     0.000     0.624     0.000     3.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.307     0.000     0.693     4.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     1.000     1.000     1.000     1.000     0.000     0.650     0.350     0.000     0.000     1.000
     1.000     0.000     0.000     0.000     1.000     0.003     0.000     0.937     0.060     3.000
     1.000     0.000     1.000     0.000     0.000     0.002     0.977     0.000     0.021     2.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     1.000     0.000     1.000     0.000     0.000     0.002     0.977     0.000     0.021     2.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.307     0.000     0.693     4.000
     0.000     0.000     1.000     0.000     0.000     0.000     0.934     0.000     0.066     2.000
     1.000     0.000     1.000     1.000     1.000     0.337     0.000     0.663     0.000     3.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.307     0.000     0.693     4.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.307     0.000     0.693     4.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     1.000     0.000     0.000     1.000     1.000     0.031     0.000     0.964     0.006     3.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.307     0.000     0.693     4.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.307     0.000     0.693     4.000
     1.000     0.000     0.000     1.000     0.000     0.004     0.643     0.000     0.353     2.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.307     0.000     0.693     4.000
     1.000   999.000     0.000     0.000     1.000     0.038     0.000     0.920     0.042     3.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.307     0.000     0.693     4.000
     1.000     1.000     0.000     0.000     1.000     0.121     0.000     0.879     0.000     3.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     0.000     0.000     0.000     1.000     0.000     0.000     0.353     0.000     0.647     4.000
     0.000     1.000     1.000     0.000     1.000     0.376     0.000     0.624     0.000     3.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     0.000     0.000     1.000     0.000     0.000     0.000     0.934     0.000     0.066     2.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.307     0.000     0.693     4.000
     0.000     0.000     1.000     1.000     1.000     0.122     0.000     0.877     0.000     3.000
     1.000     1.000     1.000     0.000     0.000     0.063     0.937     0.000     0.000     2.000
     1.000     0.000     1.000     1.000     1.000     0.337     0.000     0.663     0.000     3.000
     1.000     1.000     0.000     1.000     1.000     0.580     0.000     0.420     0.000     1.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     0.000     1.000     1.000     0.000     1.000     0.376     0.000     0.624     0.000     3.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     0.000     0.000     1.000     1.000     0.000     0.011     0.972     0.000     0.017     2.000
     0.000     1.000     0.000     0.000     0.000     0.001     0.999     0.000     0.000     2.000
     1.000     1.000     1.000     1.000     1.000     0.957     0.000     0.043     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     1.000     0.000     1.000     0.000     1.000     0.048     0.000     0.951     0.001     3.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     1.000     0.000     1.000     1.000     1.000     0.337     0.000     0.663     0.000     3.000
     1.000     1.000     1.000     0.000     0.000     0.063     0.937     0.000     0.000     2.000
     1.000     1.000     0.000     1.000     1.000     0.580     0.000     0.420     0.000     1.000
     1.000   999.000   999.000   999.000   999.000     0.391     0.248     0.224     0.136     1.000
     1.000     0.000     0.000     0.000     1.000     0.003     0.000     0.937     0.060     3.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     0.000     1.000     0.000     1.000     0.000     0.033     0.967     0.000     0.000     2.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     0.000     0.000     1.000     0.000     1.000     0.014     0.000     0.982     0.004     3.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.883     4.000
     1.000     1.000     1.000     0.000     1.000     0.687     0.000     0.313     0.000     1.000
     1.000     1.000     1.000     0.000     1.000     0.687     0.000     0.313     0.000     1.000
     0.000     0.000     1.000     1.000     0.000     0.011     0.972     0.000     0.017     2.000
